Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TMIN,TMAX,EHF,Above_95th,RH,Mental_Health,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-06-01,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.52125,14.5475,27.74375,0,0,73.3175,60,6,1,-0.7575,0.96375,1,1,5.27275850387137
2016-06-02,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.11125,15.16875,27.9175,0,0,72.9,67,6,2,0.17375,0.62125,1,1,5.27275850387137
2016-06-03,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5725,15.12375,27.3525,0,0,77.5125,52,6,3,-0.565,-0.0450000000000002,1,1,5.27275850387137
2016-06-04,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.56125,15.835,29.24875,0,0,71.81375,62,6,4,1.89625,0.71125,1,1,5.27275850387137
2016-06-05,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.1025,17.0875,29.76,0,0,71.265,60,6,5,0.51125,1.2525,1,1,5.27275850387137
2016-06-06,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.41,16.1375,24.53875,0,0,85.5825,67,6,6,-5.22125,-0.95,1,1,5.27275850387137
2016-06-07,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.64875,13.9875,24.89375,0,0,84.8725,72,6,7,0.355000000000001,-2.15,1,1,5.27275850387137
2016-06-08,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.69125,11.37625,27.59625,0,0,53.33875,63,6,8,2.7025,-2.61125,1,1,5.27275850387137
2016-06-09,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.61125,9.04375,25.3675,0,0,54.3875,60,6,9,-2.22875,-2.3325,1,1,5.27275850387137
2016-06-10,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.4725,10.1675,27.09875,0,0,58.43625,73,6,10,1.73125,1.12375,1,1,5.27275850387137
